time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,contact infectivity,duration,total population,recovering,succumbing,infectious,recovered,susceptible
18.21875,0,100,0.03125,0.03125,0.3,5,1000,5.346193398547726,7.454887497101607,26.73096699273863,48.64965196919575,929.6193810380673
18.25,0,100,0.03125,0.03125,0.3,5,1000,5.359372736663688,7.471392328026564,26.79686368331844,48.81672051290037,929.3864158037829
18.28125,0,100,0.03125,0.03125,0.3,5,1000,5.372572859109706,7.487912759150791,26.86286429554853,48.98420091092111,929.1529347935322
18.3125,0,100,0.03125,0.03125,0.3,5,1000,5.385793733484963,7.504448688914542,26.928968667424815,49.152093812768285,928.9189375198087
18.34375,0,100,0.03125,0.03125,0.3,5,1000,5.399035326956398,7.521000015092026,26.99517663478199,49.32039986693969,928.6844234982801
18.375,0,100,0.03125,0.03125,0.3,5,1000,5.412297606257246,7.537566634790713,27.06148803128623,49.48911972090708,928.4493922478085
18.40625,0,100,0.03125,0.03125,0.3,5,1000,5.425580537685581,7.5541484444506715,27.127902688427902,49.658254021102614,928.2138432904713
18.4375,0,100,0.03125,0.03125,0.3,5,1000,5.438884087102862,7.5707453398439135,27.19442043551431,49.82780341290529,927.9777761515822
18.46875,0,100,0.03125,0.03125,0.3,5,1000,5.452208219932493,7.587357216073768,27.261041099662467,49.997768540627256,927.7411903597122
18.5,0,100,0.03125,0.03125,0.3,5,1000,5.465552901158377,7.603983967574267,27.327764505791883,50.16815004750015,927.5040854467098
18.53125,0,100,0.03125,0.03125,0.3,5,1000,5.478918095323476,7.6206254881095585,27.39459047661738,50.33894857566135,927.2664609477231
18.5625,0,100,0.03125,0.03125,0.3,5,1000,5.492303766528389,7.637281670773334,27.461518832641946,50.51016476614021,927.0283164012196
18.59375,0,100,0.03125,0.03125,0.3,5,1000,5.50570987842992,7.653952407988282,27.5285493921496,50.68179925884422,926.789651349008
18.625,0,100,0.03125,0.03125,0.3,5,1000,5.51913639423966,7.670637591505553,27.5956819711983,50.85385269254516,926.5504653362583
