time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,predation rate,predator death rate,predator efficiency,prey birth rate,predation,predator births,predator deaths,prey births,Predator,Prey
29.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.1149397293202274,0.011149397293202275,0.11352994359292506,98.20666636794736,0.28382485898231263,196.41333273589473
30.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.1397550558797074,0.011397550558797074,0.10329188896295279,110.34313219777576,0.25822972240738196,220.68626439555152
30.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.166809788281198,0.011668097882811982,0.09410245512253722,123.99355434051276,0.23525613780634302,247.98710868102552
30.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.1964187967815643,0.011964187967815643,0.08585901939856469,139.3468974095417,0.2146475484964117,278.6937948190834
30.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.2289561917145202,0.012289561917145203,0.07846953625548979,156.6157072361367,0.19617384063872445,313.2314144722734
31.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.264867671543818,0.01264867671543818,0.07185153882165533,176.03905111668948,0.1796288470541383,352.07810223337896
31.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.304686025340724,0.013046860253407242,0.06593125261103361,197.88582404733268,0.16482813152758402,395.77164809466535
31.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.3490507255584863,0.013490507255584863,0.06064281337527098,222.45846630008168,0.15160703343817744,444.91693260016336
31.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.3987328677806323,0.013987328677806323,0.05592758276330237,250.09714324689708,0.1398189569082559,500.19428649379415
32.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.454667158909615,0.01454667158909615,0.05173355735475276,281.18444454428663,0.1293338933868819,562.3688890885733
32.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.5179932776575147,0.015179932776575146,0.0480148687781871,316.15066671745876,0.12003717194546774,632.3013334349175
32.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.5901098105584306,0.015901098105584308,0.0447313751780259,355.4797508974339,0.11182843794506475,710.9595017948678
32.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.6727452217696979,0.01672745221769698,0.04184834747078175,399.71595603329337,0.10462086867695436,799.4319120665867
33.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.7680521253187893,0.017680521253187892,0.03933625794547327,449.47135738473384,0.09834064486368317,898.9427147694677
33.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.878733769271672,0.018787337692716722,0.03717068427624473,505.43427054216073,0.09292671069061183,1010.8685410843215
33.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,2.0082155390320415,0.02008215539032042,0.03533234961789193,568.3787126387718,0.08833087404472982,1136.7574252775437
33.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,2.1608801115093774,0.02160880111509377,0.03380733019513478,639.1750247762393,0.08451832548783694,1278.3500495524786
34.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,2.3423937098752248,0.023423937098752245,0.03258747728713068,718.8017928593306,0.0814686932178267,1437.6035857186612
34.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,2.560164443051643,0.02560164443051643,0.031671123268292835,808.3592177530126,0.07917780817073208,1616.7184355060251
34.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,2.8239947903556204,0.028239947903556207,0.031064175384515193,909.0840994167577,0.07766043846128798,1818.1681988335154
34.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,3.1470236169556807,0.03147023616955681,0.03078175263641929,1022.3666124950579,0.07695438159104823,2044.7332249901158
35.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,3.5471066534484805,0.03547106653448481,0.03085060098973304,1149.7690611048206,0.0771265024743326,2299.538122209641
35.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,4.048871887600661,0.04048871887600661,0.03131264754420822,1293.046805411242,0.07828161886052054,2586.093610822484
35.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,4.68683193076991,0.04686831930769911,0.032230254677388055,1454.1715471016973,0.08057563669347013,2908.3430942033947
35.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,5.510182334358653,0.05510182334358655,0.03369406114041916,1635.3571364980633,0.08423515285104789,3270.7142729961265
36.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,6.5903419578795255,0.06590341957879525,0.035834837360735894,1839.0880057685263,0.08958709340183973,3678.1760115370525
36.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,8.033046102124656,0.08033046102124655,0.03884169558254183,2068.150213744857,0.09710423895635457,4136.300427489714
36.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,9.998166289280395,0.09998166289280394,0.0429905721264123,2325.6648597001986,0.10747643031603075,4651.329719400397
36.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,12.732951473827981,0.1273295147382798,0.04868968120305147,2615.123196376563,0.12172420300762866,5230.246392753126
37.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,16.629163814143784,0.16629163814143785,0.056553664556574304,2940.421976989405,0.14138416139143575,5880.84395397881
37.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,22.323877154526198,0.22323877154526195,0.06752746191506066,3305.8960786363123,0.16881865478765165,6611.7921572726245
37.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,30.882284103043247,0.3088228410304325,0.0830985928780808,3716.3426038215357,0.20774648219520198,7432.685207643071
37.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,44.13904978744727,0.4413904978744727,0.10567101769331595,4177.025143786347,0.2641775442332899,8354.050287572694
38.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,65.35557834565229,0.6535557834565229,0.13924296571143163,4693.63590553621,0.34810741427857905,9387.27181107242
38.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,100.52672278287393,1.0052672278287393,0.19067424748594075,5272.17094643503,0.4766856187148519,10544.34189287006
38.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,161.06568070860155,1.6106568070860154,0.2721335455202206,5918.626474391549,0.6803338638005515,11837.252948783098
38.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,269.5064770529682,2.6950647705296817,0.4059858716768001,6638.321573601917,1.0149646791920002,13276.643147203835
39.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,472.0069075990554,4.720069075990555,0.6348937615620883,7434.423460670536,1.5872344039052206,14868.846921341072
39.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,866.5244403104376,8.665244403104376,1.0434112930049348,8304.725529804471,2.608528232512337,16609.451059608942
39.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1667.3764573285564,16.673764573285563,1.8055946040148791,9234.500665991225,4.513986510037197,18469.00133198245
39.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,3351.8038062911855,33.51803806291186,3.292411600941948,10180.39119207406,8.23102900235487,20360.78238414812
40.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,6967.920238944235,69.67920238944235,6.31497424713894,11033.964615296918,15.787435617847349,22067.929230593836
40.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,14602.521024351825,146.02521024351825,12.65139706136928,11542.220162341004,31.6284926534232,23084.440324682007
40.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,29002.651669774226,290.02651669774224,25.988778379584176,11159.682554589652,64.97194594896044,22319.365109179304
40.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,46782.941453227475,467.8294145322747,52.39255221139999,8929.31141519158,130.98138052849995,17858.62283038316
41.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,39430.74740830283,394.3074740830283,93.93623844348747,4197.607660437093,234.84059610871864,8395.215320874186
41.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,123.97336200744154,0.0,309.9334050186038,0.0
41.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,111.57602580669739,0.0,278.94006451674346,0.0
41.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,100.41842322602764,0.0,251.0460580650691,0.0
42.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,90.3765809034249,0.0,225.9414522585622,0.0
42.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,81.3389228130824,0.0,203.347307032706,0.0
42.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,73.20503053177417,0.0,183.0125763294354,0.0
42.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,65.88452747859675,0.0,164.71131869649187,0.0
43.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,59.296074730737075,0.0,148.2401868268427,0.0
43.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,53.366467257663366,0.0,133.4161681441584,0.0
43.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,48.02982053189703,0.0,120.07455132974256,0.0
43.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,43.22683847870732,0.0,108.0670961967683,0.0
44.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,38.904154630836594,0.0,97.26038657709148,0.0
44.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,35.01373916775293,0.0,87.53434791938233,0.0
44.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,31.512365250977638,0.0,78.7809131274441,0.0
44.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,28.361128725879873,0.0,70.90282181469968,0.0
45.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,25.525015853291887,0.0,63.81253963322971,0.0
45.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,22.972514267962698,0.0,57.43128566990674,0.0
45.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,20.67526284116643,0.0,51.688157102916065,0.0
45.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,18.607736557049783,0.0,46.519341392624455,0.0
46.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,16.746962901344805,0.0,41.86740725336201,0.0
46.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,15.072266611210324,0.0,37.68066652802581,0.0
46.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,13.565039950089293,0.0,33.91259987522323,0.0
46.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,12.208535955080363,0.0,30.521339887700904,0.0
47.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,10.987682359572325,0.0,27.469205898930813,0.0
47.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,9.888914123615093,0.0,24.72228530903773,0.0
47.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,8.900022711253582,0.0,22.250056778133956,0.0
47.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,8.010020440128224,0.0,20.02505110032056,0.0
48.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,7.209018396115401,0.0,18.022545990288503,0.0
48.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,6.488116556503861,0.0,16.220291391259654,0.0
48.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,5.839304900853476,0.0,14.598262252133688,0.0
48.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,5.255374410768128,0.0,13.138436026920319,0.0
49.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,4.729836969691315,0.0,11.824592424228287,0.0
49.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,4.256853272722184,0.0,10.642133181805459,0.0
49.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,3.8311679454499656,0.0,9.577919863624913,0.0
49.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,3.4480511509049694,0.0,8.620127877262423,0.0
50.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,3.1032460358144722,0.0,7.75811508953618,0.0
50.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,2.792921432233025,0.0,6.982303580582562,0.0
50.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.0,0.0,2.5136292890097227,0.0,6.284073222524306,0.0
