Years,Deep N,downwelling,downwelling rate,remin,remin rate,Surface N,uptake,uptake rate,upwelling,upwelling rate
46,996.248011641,12.175390202,0.03,19.9249602328,0.02,405.846340068,16.2338536027,0.04,29.8874403492,0.03
46.25,996.801239162,12.1864766761,0.03,19.9360247832,0.02,406.215889204,16.2486355682,0.04,29.9040371749,0.03
46.5,997.355855233,12.1974936131,0.03,19.9471171047,0.02,406.583120437,16.2633248175,0.04,29.920675657,0.03
46.75,997.911838998,12.2084425423,0.03,19.95823678,0.02,406.948084743,16.2779233897,0.04,29.9373551699,0.03
47,998.469170036,12.2193249616,0.03,19.9693834007,0.02,407.310832053,16.2924332821,0.04,29.9540751011,0.03
47.25,999.027828352,12.230142338,0.03,19.980556567,0.02,407.671411267,16.3068564507,0.04,29.9708348505,0.03
47.5,999.587794365,12.2408961085,0.03,19.9917558873,0.02,408.029870283,16.3211948113,0.04,29.987633831,0.03
47.75,1000.14904891,12.2515876803,0.03,20.0029809781,0.02,408.38625601,16.3354502404,0.04,30.0044714672,0.03
48,1000.7115732,12.2622184319,0.03,20.0142314641,0.02,408.740614397,16.3496245759,0.04,30.0213471961,0.03
48.25,1001.27534888,12.2727897133,0.03,20.0255069776,0.02,409.092990444,16.3637196178,0.04,30.0382604664,0.03
48.5,1001.84035794,12.2833028468,0.03,20.0368071587,0.02,409.443428228,16.3777371291,0.04,30.0552107381,0.03
48.75,1002.40658275,12.2937591276,0.03,20.048131655,0.02,409.791970918,16.3916788367,0.04,30.0721974826,0.03
49,1002.97400608,12.3041598239,0.03,20.0594801215,0.02,410.138660798,16.4055464319,0.04,30.0892201823,0.03
49.25,1003.54261102,12.3145061784,0.03,20.0708522204,0.02,410.48353928,16.4193415712,0.04,30.1062783305,0.03
49.5,1004.11238104,12.3247994077,0.03,20.0822476207,0.02,410.826646925,16.433065877,0.04,30.1233714311,0.03
49.75,1004.68329993,12.3350407038,0.03,20.0936659987,0.02,411.168023461,16.4467209385,0.04,30.140498998,0.03
50,1005.25535186,12.345231234,0.03,20.1051070372,0.02,411.5077078,16.460308312,0.04,30.1576605558,0.03
50.25,1005.82852129,12.3553721416,0.03,20.1165704258,0.02,411.845738053,16.4738295221,0.04,30.1748556387,0.03
50.5,1006.40279302,12.3654645464,0.03,20.1280558604,0.02,412.182151547,16.4872860619,0.04,30.1920837906,0.03
50.75,1006.97815218,12.3755095453,0.03,20.1395630435,0.02,412.516984842,16.5006793937,0.04,30.2093445653,0.03
51,1007.55458418,12.3855082125,0.03,20.1510916836,0.02,412.850273749,16.51401095,0.04,30.2266375254,0.03
51.25,1008.13207477,12.3954616002,0.03,20.1626414955,0.02,413.18205334,16.5272821336,0.04,30.2439622432,0.03
51.5,1008.71060999,12.405370739,0.03,20.1742121997,0.02,413.512357967,16.5404943187,0.04,30.2613182996,0.03
51.75,1009.29017615,12.4152366383,0.03,20.1858035229,0.02,413.841221277,16.5536488511,0.04,30.2787052844,0.03
