Years,growth,growth rate,Population
42.25,649.132347229,0.1,6491.32347229
42.5,665.36065591,0.1,6653.6065591
42.75,681.994672308,0.1,6819.94672308
43,699.044539116,0.1,6990.44539116
43.25,716.520652593,0.1,7165.20652593
43.5,734.433668908,0.1,7344.33668908
43.75,752.794510631,0.1,7527.94510631
44,771.614373397,0.1,7716.14373397
44.25,790.904732732,0.1,7909.04732732
44.5,810.67735105,0.1,8106.7735105
44.75,830.944284826,0.1,8309.44284826
45,851.717891947,0.1,8517.17891947
45.25,873.010839245,0.1,8730.10839245
45.5,894.836110227,0.1,8948.36110227
45.75,917.207012982,0.1,9172.07012982
46,940.137188307,0.1,9401.37188307
46.25,963.640618015,0.1,9636.40618015
46.5,987.731633465,0.1,9877.31633465
46.75,1012.4249243,0.1,10124.249243
47,1037.73554741,0.1,10377.3554741
47.25,1063.67893609,0.1,10636.7893609
47.5,1090.2709095,0.1,10902.709095
47.75,1117.52768223,0.1,11175.2768223
48,1145.46587429,0.1,11454.6587429
48.25,1174.10252115,0.1,11741.0252115
48.5,1203.45508418,0.1,12034.5508418
48.75,1233.54146128,0.1,12335.4146128
49,1264.37999781,0.1,12643.7999781
49.25,1295.98949776,0.1,12959.8949776
49.5,1328.3892352,0.1,13283.892352
49.75,1361.59896608,0.1,13615.9896608
50,1395.63894023,0.1,13956.3894023
50.25,1430.52991374,0.1,14305.2991374
50.5,1466.29316158,0.1,14662.9316158
50.75,1502.95049062,0.1,15029.5049062
51,1540.52425289,0.1,15405.2425289
51.25,1579.03735921,0.1,15790.3735921
51.5,1618.51329319,0.1,16185.1329319
51.75,1658.97612552,0.1,16589.7612552
52,1700.45052866,0.1,17004.5052866
52.25,1742.96179187,0.1,17429.6179187
52.5,1786.53583667,0.1,17865.3583667
52.75,1831.19923259,0.1,18311.9923259
53,1876.9792134,0.1,18769.792134
53.25,1923.90369374,0.1,19239.0369374
53.5,1972.00128608,0.1,19720.0128608
53.75,2021.30131823,0.1,20213.0131823
54,2071.83385119,0.1,20718.3385119
54.25,2123.62969747,0.1,21236.2969747
54.5,2176.72043991,0.1,21767.2043991
54.75,2231.1384509,0.1,22311.384509
55,2286.91691218,0.1,22869.1691218
55.25,2344.08983498,0.1,23440.8983498
55.5,2402.69208086,0.1,24026.9208086
55.75,2462.75938288,0.1,24627.5938288
56,2524.32836745,0.1,25243.2836745
56.25,2587.43657663,0.1,25874.3657663
56.5,2652.12249105,0.1,26521.2249105
56.75,2718.42555333,0.1,27184.2555333
57,2786.38619216,0.1,27863.8619216
57.25,2856.04584696,0.1,28560.4584696
57.5,2927.44699314,0.1,29274.4699314
57.75,3000.63316797,0.1,30006.3316797
58,3075.64899717,0.1,30756.4899717
58.25,3152.54022209,0.1,31525.4022209
58.5,3231.35372765,0.1,32313.5372765
58.75,3312.13757084,0.1,33121.3757084
59,3394.94101011,0.1,33949.4101011
59.25,3479.81453536,0.1,34798.1453536
59.5,3566.80989875,0.1,35668.0989875
59.75,3655.98014621,0.1,36559.8014621
60,3747.37964987,0.1,37473.7964987
60.25,3841.06414112,0.1,38410.6414112
60.5,3937.09074464,0.1,39370.9074464
60.75,4035.51801326,0.1,40355.1801326
