time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,population total,recovery rate,transmission rate,infection,recovery,Infected,Recovered,Susceptible
36.0,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,10.646587556346951,23.099145730624414,230.99145730624414,615.3724489538351,153.6360937399215
36.25,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,10.321140892055565,22.78783177626748,227.87831776267478,621.1472353864913,150.97444685083477
36.5,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,10.00599476461239,22.47616450416218,224.7616450416218,626.8441933305581,148.39416162782086
36.75,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,9.70087450605134,22.164410260673435,221.64410260673435,632.4632344565987,145.89266293666776
37.0,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,9.40550551258798,21.852821866807886,218.52821866807884,638.004337021767,143.46744431015492
37.25,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,9.119614159671585,21.541638957952387,215.41638957952387,643.467542488469,141.11606793200792
37.5,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,8.842928612150725,21.23108833799537,212.31088337995368,648.8529522279571,138.83616439209004
37.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,8.57517953746311,20.921384344849255,209.21384344849253,654.160724312456,136.62543223905237
38.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,8.316100729445077,20.6127292246646,206.127292246646,659.3910703986683,134.4816373546866
38.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,8.065429650013282,20.305313512284112,203.0531351228411,664.5442527048344,132.40261217232532
38.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,7.822907895609939,19.99931641572734,199.99316415727338,669.6205810829055,130.386254759822
38.75,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,7.588281594930221,19.694906202724404,196.94906202724403,674.6204101868373,128.43052778591954
39.0,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,7.361301744072738,19.39224058752955,193.92240587529548,679.5441367375183,126.53345738718698
