time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,photosynthesis rate,respiration rate,photosynthesis,respiration,Atmosphere C,Land C
40.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
40.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
40.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
40.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
41.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
41.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
41.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
41.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
42.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
42.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
42.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
42.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
43.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
43.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
43.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
43.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
44.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
44.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
44.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
44.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
45.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
45.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
45.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
45.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
46.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
46.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
46.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
46.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
47.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
47.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
47.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
47.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
48.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
48.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
48.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
48.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
49.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
49.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
49.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
49.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
50.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
50.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
50.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
50.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
51.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
51.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
51.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
51.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
52.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
52.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
52.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
52.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
53.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
53.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
53.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
53.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
54.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
54.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
54.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
54.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
55.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
55.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
55.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
55.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
56.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
56.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
56.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
56.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
57.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
57.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
57.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
57.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
58.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
58.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
58.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
58.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
59.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
59.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
59.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
59.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
60.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
60.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
60.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
60.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
61.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
61.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
61.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
61.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
62.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
62.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
62.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
62.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
63.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
63.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
63.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
63.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
64.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
64.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
64.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
64.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
65.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
65.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
65.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
65.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
66.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
66.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
66.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
66.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
67.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
67.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
67.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
67.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
68.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
68.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
68.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
68.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
69.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
69.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
69.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
69.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
70.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
70.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
70.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
70.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
71.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
71.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
71.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
71.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
72.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
72.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
72.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
72.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
