time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,downwelling rate,remin rate,uptake rate,upwelling rate,downwelling,remin,uptake,upwelling,Deep N,Surface N
36.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.68363718835207,19.530264723755085,15.578182917802764,29.295397085632626,976.5132361877543,389.45457294506906
36.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.698889015698155,19.539857247887458,15.598518687597542,29.309785871831185,976.9928623943729,389.9629671899385
37.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.71398185196217,19.549502049846232,15.618642469282895,29.324253074769345,977.4751024923115,390.4660617320724
37.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.728919067613603,19.559198203981424,15.638558756818139,29.338797305972136,977.9599101990713,390.96396892045345
37.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.743703963725157,19.56894480380954,15.658271951633543,29.353417205714308,978.447240190477,391.45679879083855
37.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.758339773402824,19.578740961618642,15.677786364537099,29.36811144242796,978.9370480809321,391.94465911342746
38.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.772829663186483,19.58858580808161,15.697106217581979,29.382878712122412,979.4292904040805,392.4276554395495
38.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.787176734421639,19.598478491877337,15.71623564589552,29.397717737816006,979.9239245938669,392.905891147388
38.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.80138402460288,19.608418179319752,15.735178699470508,29.41262726897963,980.4209089659877,393.3794674867627
38.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.815454508689678,19.618404053994468,15.753939344919571,29.4276060809917,980.9202026997234,393.84848362298925
39.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.829391100395044,19.628435316402932,15.772521467193394,29.442652974604396,981.4217658201466,394.31303667983485
39.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.843196653447665,19.638511183613897,15.790928871263555,29.457766775420847,981.9255591806949,394.77322178158886
39.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.856873962827988,19.648630888922103,15.809165283770652,29.472946333383153,982.4315444461051,395.2291320942663
39.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.870425765978872,19.658793681513938,15.827234354638497,29.488190522270905,982.9396840756968,395.6808588659624
40.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.883854743991273,19.668998826140047,15.845139658655032,29.503498239210067,983.4499413070023,396.1284914663758
40.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.897163522765503,19.67924560279465,15.86288469702067,29.518868404191977,983.9622801397326,396.57211742551675
40.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.910354674148545,19.689533306401493,15.880472898864728,29.534299959602237,984.4766653200746,397.0118224716182
40.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.923430717047962,19.69986124650623,15.897907622730617,29.549791869759346,984.9930623253116,397.44769056826544
41.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.936394118522818,19.710228746975208,15.915192158030425,29.565343120462806,985.5114373487603,397.8798039507606
41.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.949247294852139,19.72063514570038,15.93232972646952,29.580952718550574,986.0317572850191,398.308243161738
41.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.961992612581357,19.731079794310393,15.94932348344181,29.596619691465587,986.5539897155196,398.73308708604526
41.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.974632389547176,19.741562057887524,15.966176519396235,29.61234308683128,987.0781028943761,399.1544129849059
42.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.987168895881336,19.75208131469054,15.982891861175116,29.62812197203581,987.604065734527,399.57229652937787
42.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.99960435499368,19.76263695588322,15.999472473324909,29.64395543382483,988.131847794161,399.9868118331227
42.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.011940944534977,19.77322838526848,16.015921259379972,29.65984257790272,988.661419263424,400.39803148449926
42.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.024180797339886,19.783855019027985,16.032241063119848,29.675782528541976,989.1927509513993,400.8060265779962
43.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.036326002350503,19.794516285467115,16.04843466980067,29.69177442820067,989.7258142733557,401.21086674501674
43.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.048378605520874,19.8052116247652,16.064504807361168,29.7078174371478,990.26058123826,401.61262018402914
43.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.060340610702866,19.81594048873089,16.080454147603824,29.723910733096336,990.7970244365446,402.0113536900956
43.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.07221398051379,19.82670234056258,16.09628530735172,29.740053510843868,991.3351170281289,402.407132683793
44.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.084000637186127,19.83749665461374,16.112000849581506,29.756244981920613,991.8748327306871,402.8000212395376
44.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.095702463399775,19.848322916163138,16.127603284533034,29.772484374244705,992.4161458081569,403.19008211332584
44.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.107321303097114,19.85918062118973,16.143095070796154,29.788770931784594,992.9590310594865,403.5773767699038
44.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.1188589622813,19.870069276152243,16.158478616375067,29.80510391422836,993.5034638076121,403.96196540937666
45.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.13031720979809,19.88098839777327,16.17375627973079,29.821482596659898,994.0494198886634,404.3439069932697
45.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.141697778101573,19.891937512827823,16.188930370802098,29.837906269241735,994.5968756413912,404.72325927005244
45.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.153002364004108,19.902916157936264,16.204003152005477,29.854374236904395,995.1458078968132,405.10007880013694
45.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.164232629410819,19.913923879361445,16.218976839214427,29.870885819042165,995.6961939680722,405.47442098036066
46.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.175390202038946,19.924960232810093,16.233853602718597,29.88744034921514,996.2480116405047,405.8463400679649
46.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.186476676122378,19.936024783238267,16.248635568163174,29.904037174857397,996.8012391619133,406.2158892040793
46.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.197493613101667,19.94711710466078,16.26332481746889,29.920675656991172,997.355855233039,406.58312043672225
46.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.20844254229982,19.958236779964636,16.277923389733097,29.937355169946954,997.9118389982318,406.9480847433274
47.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.219324961584176,19.969383400726226,16.292433282112235,29.954075101089334,998.4691700363112,407.3108320528059
47.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.230142338014623,19.98055656703233,16.306856450686166,29.970834850548492,999.0278283516164,407.6714112671541
47.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.240896108478479,19.991755887304823,16.32119481130464,29.98763383095723,999.587794365241,408.029870282616
47.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.251587680312285,20.002980978128953,16.33545024041638,30.004471467193426,1000.1490489064475,408.3862560104095
48.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.262218431910771,20.01423146408519,16.349624575881027,30.021347196127785,1000.7115732042595,408.7406143970257
48.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.272789713323291,20.02550697758453,16.36371961776439,30.038260466376794,1001.2753488792265,409.0929904441097
48.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.283302846837959,20.036807158707187,16.37773712911728,30.05521073806078,1001.8403579353593,409.443428227932
48.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.29375912755375,20.04813165504461,16.391678836738333,30.07219748256691,1002.4065827522304,409.79197091845833
49.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.304159823940811,20.059480121544766,16.40554643192108,30.08922018231715,1002.9740060772383,410.13866079802705
49.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.314506178389225,20.070852220360607,16.419341571185633,30.10627833054091,1003.5426110180304,410.48353927964087
49.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.32479940774647,20.08224762070165,16.433065876995293,30.123371431052476,1004.1123810350825,410.82664692488237
49.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.3350407038438,20.093665998688632,16.4467209384584,30.140498998032943,1004.6832999344315,411.16802346146005
50.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.34523123401178,20.105107037211127,16.46030831201571,30.15766055581669,1005.2553518605564,411.5077078003927
50.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.355372141585201,20.116570425788158,16.4738295221136,30.17485563868224,1005.828521289408,411.84573805284003
50.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.365464546397575,20.128055860431616,16.487286061863436,30.19208379064742,1006.4027930215807,412.1821515465859
50.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.375509545265473,20.139563043512524,16.5006793936873,30.209344565268783,1006.9781521756262,412.51698484218247
51.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.385508212462844,20.15109168363007,16.51401094995046,30.226637525445103,1007.5545841815035,412.8502737487615
51.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.395461600185582,20.16264149548331,16.527282133580776,30.243962243224964,1008.1320747741655,413.1820533395194
51.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.405370739006521,20.17421219974553,16.540494318675364,30.261318299618292,1008.7106099872765,413.51235796688405
51.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.415236638321044,20.1858035229412,16.553648851094728,30.278705284411796,1009.2901761470599,413.84122127736816
52.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.425060286783514,20.19741519732545,16.566747049044686,30.296122795988175,1009.8707598662726,414.16867622611716
52.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.434842652734714,20.209046960766056,16.579790203646287,30.313570441149082,1010.4523480383028,414.4947550911572
52.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.444584684620475,20.220698556627816,16.592779579493968,30.33104783494172,1011.0349278313907,414.8194894873492
52.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.454287311401679,20.232369733659347,16.605716415202238,30.34855460048902,1011.6184866829674,415.142910380056
53.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.463951442955816,20.24406024588221,16.61860192394109,30.36609036882331,1012.2030122941104,415.46504809852723
53.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.473577970470265,20.25576985248228,16.631437293960353,30.38365477872342,1012.788492624114,415.7859323490088
53.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.48316776682746,20.267498317703424,16.64422368910328,30.401247476555138,1013.3749158851713,416.105592227582
53.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.492721686982144,20.279245410743304,16.656962249309526,30.418868116114954,1013.9622705371652,416.4240562327381
54.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.502240568330818,20.291010905651355,16.669654091107756,30.436516358477032,1014.5505452825678,416.7413522776939
54.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.511725231073607,20.30279458122888,16.682300308098142,30.45419187184332,1015.1397290614441,417.05750770245356
54.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.521176478568643,20.31459622093118,16.69490197142486,30.471894331396765,1015.7298110465589,417.37254928562146
54.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.530595097679168,20.326415612771694,16.707460130238893,30.48962341915754,1016.3207806385847,417.6865032559723
55.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.539981859113466,20.33825254922816,16.719975812151286,30.507378823842238,1016.912627461408,417.9993953037822
55.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.549337517757797,20.350106827150654,16.732450023677064,30.52516024072598,1017.5053413575328,418.3112505919266
55.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.55866281300248,20.36197824767157,16.744883750669974,30.542967371507352,1018.0989123835784,418.62209376674934
55.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.567958469061242,20.373866616117404,16.757277958748322,30.560799924176102,1018.6933308058701,418.93194896870807
56.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.57722519528399,20.385771741922415,16.769633593711987,30.57865761288362,1019.2885870961208,419.2408398427997
56.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.586463686463148,20.397693438544028,16.781951581950864,30.596540157816044,1019.8846719272015,419.5487895487716
56.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.595674623133663,20.409631523379986,16.794232830844884,30.614447285069975,1020.4815761689993,419.8558207711221
56.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.60485867186685,20.421585817687202,16.8064782291558,30.632378726530803,1021.0792908843601,420.161955728895
57.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.61401648555816,20.43355614650232,16.81868864741088,30.65033421975348,1021.677807325116,420.46721618527204
57.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.623148703709044,20.445542338563854,16.830864938278726,30.66831350784578,1022.2771169281928,420.77162345696814
57.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.632255952702979,20.457544226235992,16.843007936937305,30.686316339353986,1022.8772113117996,421.07519842343265
57.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.641338846075831,20.469561645433917,16.855118461434444,30.704342468150873,1023.4780822716958,421.37796153586106
58.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.650397984780636,20.48159443555071,16.86719731304085,30.722391653326063,1024.0797217775355,421.67993282602123
58.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.659433957446922,20.493642439385734,16.879245276595896,30.7404636590786,1024.6821219692868,421.9811319148974
58.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.66844734063469,20.505705503074505,16.891263120846254,30.758558254611756,1025.2852751537253,422.28157802115635
58.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.677438699083172,20.51778347601999,16.903251598777562,30.776675214029986,1025.8891738009995,422.58128996943907
59.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.68640858595444,20.529876210825357,16.915211447939257,30.794814316238032,1026.4938105412677,422.8802861984814
59.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.695357543072024,20.541983563228065,16.927143390762698,30.812975344842094,1027.0991781614032,423.17858476906747
59.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.70428610115458,20.554105392035353,16.939048134872774,30.83115808805303,1027.7052696017677,423.47620337181934
59.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.713194780044773,20.566241559061037,16.95092637339303,30.849362338591554,1028.3120779530518,423.7731593348258
60.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.722084088933425,20.57839192906361,16.96277878524457,30.867587893595413,1028.9195964531805,424.0694696311142
60.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.730954526579056,20.59055636968562,16.974606035438743,30.885834554528426,1029.527818484281,424.36515088596855
60.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.739806581522885,20.6027347513943,16.98640877536385,30.90410212709145,1030.136737569715,424.6602193840962
60.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.74864073229942,20.614926947423427,16.998187643065894,30.92239042113514,1030.7463473711714,424.95469107664735
61.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.757457447642693,20.62713283371637,17.009943263523592,30.940699250574554,1031.3566416858184,425.2485815880898
61.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,12.766257186688255,20.639352288870292,17.021676248917675,30.959028433305434,1031.9676144435145,425.54190622294186
